好的，以下是PTED进食态度类型指标的完整整合文档。

---

## PTED 进食态度类型指标 · 完整整合文档

**全称：** Physiological-Triggered / Embodied-Detached / Inside-Outside / Flow-Rule based
**Eating Attitude Type Indicator**

---

### 一、框架总览

PTED测量一个人与食物关系的四个核心维度，恰好对应一次进食的完整时间线：

| 维度 | 字母 | 名称 | 核心问题 |
|:---|:---|:---|:---|
| 动机 | **P / T** | 生理驱动 / 触发式进食 | 你为什么开始吃？ |
| 感知 | **E / D** | 具身化 / 抽象化 | 你如何认识食物？ |
| 停止 | **I / O** | 内部信号 / 外部信号 | 你为什么停下来？ |
| 后反应 | **F / R** | 直觉式 / 分析式 | 吃完后你怎么想？ |

**八个字母：P、T、E、D、I、O、F、R——零重复。**

---

### 二、完整问卷（67题）

**评分标准：**
1 — 完全不符合
2 — 不太符合
3 — 有时符合
4 — 比较符合
5 — 完全符合

---

#### 第一部分：进食动机（13题）

**P维度 — 生理驱动（6题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| P1 | 肚子叫了、有点乏力、需要补充能量——当身体发出这些信号时，我就会去找吃的。 | ○ | ○ | ○ | ○ | ○ |
| P2 | 吃饱了之后，我自然地就会停下来。 | ○ | ○ | ○ | ○ | ○ |
| P3 | 活动量大的日子，我会吃得多一些；活动量小的日子，自然吃得少一些。 | ○ | ○ | ○ | ○ | ○ |
| P4 | 选食物的时候，我更多会想"它能给我多少能量"，而不是"它有多美味"。 | ○ | ○ | ○ | ○ | ○ |
| P5 | 没有饥饿感的时候，我很少会主动想到吃东西这件事。 | ○ | ○ | ○ | ○ | ○ |
| P6* | （反向）有些时候，即使肚子不饿，我也会因为别的原因走向食物。 | ○ | ○ | ○ | ○ | ○ |

**T维度 — 触发式进食（7题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| T1 | 心情有点乱或者压力大的时候，吃点东西会让我感觉好一些。 | ○ | ○ | ○ | ○ | ○ |
| T2 | 大家一起吃饭的时候，我会自然地跟着节奏吃——开心就好，不用想太多。 | ○ | ○ | ○ | ○ | ○ |
| T3 | "这个不吃就浪费了"、"来都来了"——这些想法有时会让我多吃几口。 | ○ | ○ | ○ | ○ | ○ |
| T4 | 有一段空闲时间不知道做什么的时候，吃东西是一件很自然的事情。 | ○ | ○ | ○ | ○ | ○ |
| T5 | 有些场景和吃东西是连在一起的——比如看电影时手里有点零食，感觉才完整。 | ○ | ○ | ○ | ○ | ○ |
| T6 | 有时候，我会突然对某种特定的食物产生强烈的渴望，满脑子都是它，不吃到就觉得不满足。 | ○ | ○ | ○ | ○ | ○ |
| T7* | （反向）大部分时候，我是真的饿了才会想吃东西。 | ○ | ○ | ○ | ○ | ○ |

---

#### 第二部分：进食感知（14题）

**E维度 — 具身化（7题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| E1 | 闻到街边食物的香味，或者刷到诱人的美食画面时，我会被吸引——觉得那是一种很美好的感觉。 | ○ | ○ | ○ | ○ | ○ |
| E2 | 看到没尝过的口味或者没去过的餐厅，我心里会冒出一点好奇，想试试看是什么味道。 | ○ | ○ | ○ | ○ | ○ |
| E3 | 对我来说，食物的味道、香气和口感，是决定它好不好吃的全部，不太会去想它里面含有什么成分。 | ○ | ○ | ○ | ○ | ○ |
| E4 | 吃到一道特别的菜，我会很自然地想和朋友描述它的味道，而不只是说"好吃"两个字。 | ○ | ○ | ○ | ○ | ○ |
| E5 | 食物对我来说，不只是填饱肚子，它还联系着某些记忆、某些人或某些地方。 | ○ | ○ | ○ | ○ | ○ |
| E6 | 我觉得慢慢品尝、享受食物带来的愉悦，是生活中很重要的一部分。 | ○ | ○ | ○ | ○ | ○ |
| E7* | （反向）我很少去品味食物的细节，对我来说食物主要的作用就是提供营养和能量。 | ○ | ○ | ○ | ○ | ○ |

**D维度 — 抽象化（7题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| D1 | 选食物的时候，我脑子里会先出现它的成分——比如多少蛋白质、多少碳水，而不是它的味道。 | ○ | ○ | ○ | ○ | ○ |
| D2 | 我会评估一顿饭的营养价值是否"达标"，这对我来说比味道好不好更重要。 | ○ | ○ | ○ | ○ | ○ |
| D3 | 我经常把食物看作"能量来源"或"营养补充"，而不是一道"菜"。 | ○ | ○ | ○ | ○ | ○ |
| D4 | 为了达到某个健康或身材目标，我可以长期吃味道一般但营养配比完美的食物。 | ○ | ○ | ○ | ○ | ○ |
| D5 | 对我来说，了解食物背后的营养科学知识，比单纯知道它好不好吃更有意思。 | ○ | ○ | ○ | ○ | ○ |
| D6 | 吃饭对我而言，更像是一项有明确目标的任务，而不是一个放松享受的过程。 | ○ | ○ | ○ | ○ | ○ |
| D7* | （反向）我吃东西时，很少会去计算它的卡路里或营养，更关心它好不好吃。 | ○ | ○ | ○ | ○ | ○ |

---

#### 第三部分：停止信号（13题）

**I维度 — 内部信号（6题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| I1 | 吃到一定程度，我的胃会告诉我"差不多了"，我通常相信这个感觉。 | ○ | ○ | ○ | ○ | ○ |
| I2 | 即使面前还有几口喜欢的菜，如果感觉已经饱了，我也可以放下筷子。 | ○ | ○ | ○ | ○ | ○ |
| I3 | 聚餐或者吃自助的时候，我仍然能根据自己的饱饿感觉来决定吃多少。 | ○ | ○ | ○ | ○ | ○ |
| I4 | 吃到一半，我会习惯性地停下来感受一下胃里的状态。 | ○ | ○ | ○ | ○ | ○ |
| I5 | "吃得刚刚好，不撑也不饿"对我来说，比"把想吃的都吃完"更重要。 | ○ | ○ | ○ | ○ | ○ |
| I6* | （反向）我不太能分辨"还没饱"、"刚刚好"和"吃撑了"之间的过渡。 | ○ | ○ | ○ | ○ | ○ |

**O维度 — 外部信号（6题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| O1 | 盘子里的东西还没吃完的时候，我会觉得"要不还是吃完吧"。 | ○ | ○ | ○ | ○ | ○ |
| O2 | 一包打开的零食，我通常会一次吃完，而不是留一部分下次再吃。 | ○ | ○ | ○ | ○ | ○ |
| O3 | "别浪费"这个念头，常常让我把食物吃完，即使已经不太饿了。 | ○ | ○ | ○ | ○ | ○ |
| O4 | 和别人一起吃饭时，大家还在吃，我就不太好意思先停下来。 | ○ | ○ | ○ | ○ | ○ |
| O5 | 如果这顿饭是花钱买的，即使不太好吃，我也会尽量吃完。 | ○ | ○ | ○ | ○ | ○ |
| O6* | （反向）为了身体舒服，我可以坦然地剩下一些食物，即使还没吃完。 | ○ | ○ | ○ | ○ | ○ |

**L — 失控感（1题，辅助检测）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| L1 | 有时候一旦开始吃某种食物，就好像停不下来，即使胃已经在告诉我不舒服了。 | ○ | ○ | ○ | ○ | ○ |

---

#### 第四部分：后反应（15题）

**F维度 — 直觉式（7题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| F1 | 吃完一顿饭之后，我很少会去想刚才吃了什么、吃了多少——过去了就过去了。 | ○ | ○ | ○ | ○ | ○ |
| F2 | 我吃东西基本跟着感觉走，不会用一套固定的标准来衡量自己吃得好不好。 | ○ | ○ | ○ | ○ | ○ |
| F3 | 如果这顿吃得比较丰盛，我的处理方式就是"下一顿自然就会少吃一点"，不需要刻意计划。 | ○ | ○ | ○ | ○ | ○ |
| F4 | 我不太会把食物分成"该吃的"和"不该吃的"——想吃就吃，身体会告诉我什么时候够了。 | ○ | ○ | ○ | ○ | ○ |
| F5 | 偶尔吃多了，我不会坐下来分析原因——可能就是那顿比较开心，没什么大不了的。 | ○ | ○ | ○ | ○ | ○ |
